"","date","year","pollinator","block","plot","sum.visits","bumblebees","hoverflies","other.flies","ref.id","acmi","anlu","assu","caly","cami","capl","clsi","copa","frca","gatr","glma","grass","juba","plmc","plmr","poan","sili","trma","trwo","pc1","pc2","pc3","pc4"
"55","10-Aug-18",2018,3,10,"C",0,0,0,0,"10-Aug-18_2018_3_10_C",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341126966660677,2.61837742055419,0.0225595569024743,0.351762708558893
"56","10-Aug-18",2018,3,10,"D",0,0,0,0,"10-Aug-18_2018_3_10_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215012187961683,1.75507116960025,0.187390664213762,1.06051646769536
"57","10-Aug-18",2018,3,11,"A",0,0,0,0,"10-Aug-18_2018_3_11_A",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25479697108482,2.02741396968579,0.135392239255351,0.83692955039795
"58","10-Aug-18",2018,3,11,"B",0,0,0,0,"10-Aug-18_2018_3_11_B",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317854360434318,2.45906709516275,0.0529766855997075,0.482552670829718
"59","10-Aug-18",2018,3,11,"C",0,0,0,0,"10-Aug-18_2018_3_11_C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215012187961683,1.75507116960025,0.187390664213762,1.06051646769536
"60","10-Aug-18",2018,3,11,"D",0,0,0,0,"10-Aug-18_2018_3_11_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215012187961683,1.75507116960025,0.187390664213762,1.06051646769536
"61","13-Aug-18",2018,3,8,"A",0,0,0,0,"13-Aug-18_2018_3_8_A",9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.690743590919264,3.04746160202077,0.526099976306505,-1.65018280179021
"62","13-Aug-18",2018,3,8,"B",1,0,0,0,"13-Aug-18_2018_3_8_B",4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520976119148716,2.44387904894779,0.480999276061471,-0.639429914265054
"63","13-Aug-18",2018,3,8,"C",0,0,0,0,"13-Aug-18_2018_3_8_C",9,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687263900748786,3.02364172693121,0.53064790629391,-1.63062725473697
"64","13-Aug-18",2018,3,8,"D",0,0,0,0,"13-Aug-18_2018_3_8_D",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553582305442117,2.19841361378872,0.661419321397958,-0.877649624399042
"65","13-Aug-18",2018,3,9,"A",4,4,0,0,"13-Aug-18_2018_3_9_A",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370446982993794,2.81908469403611,-0.0157614932427076,0.186986843205019
"66","13-Aug-18",2018,3,9,"B",1,0,0,1,"13-Aug-18_2018_3_9_B",7,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.588252301767673,2.53052764719708,0.546264932628496,-1.0593557177233
"67","13-Aug-18",2018,3,9,"C",9,0,8,1,"13-Aug-18_2018_3_9_C",0,0,27,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.430066472430642,3.21478718666579,-0.138885781419423,-0.12354321761579
